Judul,Industri,Tipe,Kategori,Tanggal_Post,Berlaku_Hingga,Perusahaan,Website_Perusahaan,Logo_Perusahaan,Alamat,Kota,Provinsi,Negara,Latitude,Longitude,Gaji_Min,Gaji_Max,Gaji_Currency,Gaji_Unit,Skills,Pengalaman_Bulan,Pendidikan,Deskripsi,Tentang_Perusahaan,Benefit,Apply_Langsung,Link,cleaned_text
Fraud Analyst,Information Technology and Services,FULL_TIME,Spesialis Anti Fraud,2026-03-30T06:17:38.829Z,2026-04-30,PT. Sarana Pactindo,https://pactindo.com/home/,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/aae66c11e7209c937c9d365532c555fb.jpg,"Jl. Soekarno Hatta 267 Bandung
",Bandung,Jawa Barat,ID,-6.95167,107.59778,5000000.0,8000000.0,IDR,MONTH,"Fraud Audit, Security Audit, Risk Management, Financial Analysis",12.0,bachelor degree,"Tanggung Jawab Utama: 
 
 
 Melakukan audit dan analisis mendalam terhadap proses keuangan dan transaksi di bank klien untuk mendeteksi potensi tindak penipuan atau kecurangan. 
 Mengembangkan dan menerapkan strategi pemantauan dan deteksi penipuan yang efektif, termasuk algoritma dan aturan yang relevan. 
 Menyusun laporan keamanan keuangan yang berisi temuan dan rekomendasi hasil analisis untuk klien bank. 
 Menyelidiki laporan penipuan, kecurangan, mencari bukti, dan mengkoordinasikan dengan tim internal dan klien bank untuk mengatasi masalah penipuan. 
 Memberikan pelatihan dan mendukung klien dalam memahami dan mengimplementasikan tindakan pencegahan penipuan dan kecurangan. 
 Berinteraksi dengan berbagai tim internal dan eksternal, termasuk tim keuangan bank klien, tim keamanan informasi, dan regulator keuangan, untuk mengumpulkan informasi yang relevan. 
 Memantau perubahan regulasi dan praktik terkait penipuan di sektor keuangan, dan memastikan bahwa sistem dan prosedur klien bank mematuhi standar keamanan dan regulasi yang berlaku. 
 
 
 Kualifikasi: 
 - Gelar sarjana dalam bidang Ilmu Komputer, Keuangan, atau bidang terkait. 
 - Pengalaman sebelumnya dalam deteksi penipuan atau kecurangan di sektor perbankan atau dalam kapasitas konsultan keamanan keuangan. 
 - Keterampilan analitis yang kuat dan kemampuan untuk mengidentifikasi pola dan tren dalam data keuangan. 
 - Pengetahuan mendalam tentang teknik penipuan yang umumnya digunakan di sektor perbankan dan cara mendeteksinya. 
 - Kemampuan dalam penggunaan perangkat lunak dan alat analisis data seperti Python, R, SQL, dan perangkat analisis data terkait. 
 - Kemampuan komunikasi yang baik, termasuk kemampuan untuk berinteraksi dengan klien bank secara efektif dan memberikan laporan dan rekomendasi dengan jelas. 
 - Keterampilan analisis risiko yang baik dan pemahaman tentang kebijakan keamanan informasi di sektor keuangan. 
 
 Keterampilan Tambahan yang Diinginkan: 
 1. Sertifikasi keamanan keuangan seperti Certified Fraud Examiner (CFE) atau Certified Information Systems Security Professional (CISSP). 
 2. Pengalaman dalam mengembangkan dan mengimplementasikan teknik analisis kecerdasan buatan (artificial intelligence) untuk deteksi penipuan dalam konteks keuangan.","PT. Sarana Pactindo (PAC) adalah perusahaan penyedia jasa teknologi dengan fokus pada industri perbankan dan retail. Solusi yang disediakan oleh PAC kepada bank adalah internet banking, mobile banking, EDC, dsb.","bpjs tenaga kerja insurance and health, vacation and leaves, thr financial benefits, insurance, medical coverage",True,https://glints.com/id/opportunities/jobs/fraud-analyst/b7fd3a72-b7eb-45be-8e23-9562d9fb7fb5,fraud audit security audit risk management financial analysis
IT System Analyst,Information Technology and Services,FULL_TIME,System Analyst,2026-03-31T08:57:24.429Z,2026-05-01,Integrasi Optimal Visitama (IOV),https://iov.co.id/,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f8d0680d141ef3f0bf06836c0de5180c.png,Surabaya,Surabaya,Jawa Timur,ID,-7.32,112.79694,7000000.0,9000000.0,IDR,MONTH,"Requirements Analysis, SQL, Business Analysis, SDLC, Stakeholder Management, Cloud Platform System, Teamwork, System Analysis",12.0,bachelor degree,"General Qualification : 
 
 Man (23 - 35 years old) 
 Education min. S1 (Information Technology/Information System/Computer System) 
 Minimum 1-3 years of experience in IT coordination, business partnering, or similar roles. 
 Strong understanding of IT service management, project management, and technology roadmaps. 
 Strong communication, collaboration and stakeholder management skills. 
 Fluent in Bahasa Indonesia and English (written and spoken). 
 Will to work located in Surabaya 
 
 
 Specific Qualification : 
 
 SQL Query/Tuning Basic 
 Programming Language (Laravel) (Basic) 
 Understand Client-Server and networking concept (Basic) 
 IT Service management knowledge (Basic) 
 Familiar with Report Development (SSRS, PowerBI) will be a plus (Basic) 
 Good Documentation Practices (GDP) Knowledge will be a plus (Basic)",Integrasi Optimal Visitama (IOV) bergerak dibidang IT yang berlokasi di Surabaya,"medical coverage, bpjs tenaga kerja insurance and health, perform bonus financial benefits, thr financial benefits",True,https://glints.com/id/opportunities/jobs/it-system-analyst/50eeb711-b371-4281-a8df-d8623e9e2d18,requirements analysis sql business analysis sdlc stakeholder management cloud platform system teamwork system analysis
Data Analis,Retail,FULL_TIME,Data Analyst,2025-12-26T09:34:27.023Z,2026-05-03,CV MITRA GRAHA PUTERA,https://tbpanorama.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/16b0cbd14f50d289089647ad77e580e5.png,"Jl. Veteran No.100, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57156",Surakarta,Jawa Tengah,ID,-7.58111,110.83167,2500000.0,4000000.0,IDR,MONTH,"Python, Data Analysis, Microsoft Excel, Power BI",12.0,bachelor degree,"Kualifikasi: 
 Memiliki gelar Sarjana di bidang kuantitatif (Statistik/IT/Matematika). 
 Menguasai Excel/Spreadsheet secara mendalam 
 Pengalaman menggunakan Python (Pandas, Numpy, Matplotlib) untuk analisis data menjadi nilai plus. 
 Mampu membuat dashboard interaktif  
 Memiliki kemampuan komunikasi yang baik untuk mempresentasikan hasil analisis kepada tim manajerial.","Panorama-Panoramart telah menjadi bagian penting dalam industri retail bahan bangunan di Surakarta sejak 1983. Berbekal kredibilitas yang terjaga selama lebih dari empat dekade, kami kini tumbuh semakin kuat dengan 9 cabang strategis di area Surakarta. Namun, perjalanan kami tidak berhenti di sini. Saat ini, kami tengah melakukan transformasi strategis menuju retail modern yang lebih profesional dan sistematis untuk mendukung target besar kami: menjadi market leader di Jawa Tengah. 
 
 Dalam fase perkembangan yang dinamis ini, kami mengundang talenta-talenta berbakat untuk bergabung dan menjadi bagian dari sejarah baru Panorama-Panoramart. Kami percaya bahwa pertumbuhan berkelanjutan lahir dari individu yang terus belajar dan berani mengambil peran lebih. Di sini, setiap kontribusi memiliki ruang untuk berkembang—dari menyempurnakan proses, membangun sistem yang lebih rapi, hingga menetapkan standar profesional yang relevan dengan masa depan. Dengan arah dan dukungan yang jelas, kami mengajakmu bertumbuh bersama perjalanan besar Panorama-Panoramart.","thr financial benefits, medical coverage, bpjs tenaga kerja insurance and health, professional development",True,https://glints.com/id/opportunities/jobs/data-analis/f5074943-2638-46cb-8921-7b9581762484,python data analysis microsoft excel power bi
Data Analis,Information Technology and Services,FULL_TIME,Data Analyst,2026-03-30T06:54:31.625Z,2026-04-30,PT Tiga Global Sejahtera,https://t-rec.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a166e9907d766a483f4fe87804c15405.png,"PT TIGA GLOBAL SEJAHTERA
THE CEO BUILDING LEVEL 12TH FLOOR,
Jl. TB. Simatupang No.18C, Cilandak Barat
Kota Adm Jakarta Selatan 12430
Indonesia",Jakarta Selatan,DKI Jakarta,ID,-6.29028,106.82639,5800000.0,8700000.0,IDR,MONTH,"Data Analysis, SQL, Power BI, Microsoft Excel, Tableau, Data Visualization",36.0,bachelor degree,"Anda akan bertanggung jawab penuh dalam mengelola ekosistem dashboard monitoring serta memberikan insight mendalam mengenai perilaku pasar retail dan produktivitas tenaga kerja lapangan (field operation). Peran ini sangat krusial dalam menjembatani data mentah menjadi keputusan strategis bagi tim Produk dan Sales. 
 
Key Responsibilities: 
1. End-to-End Dashboard Management: 
2. Mengevaluasi efektivitas operasional di lapangan, memetakan hambatan kerja, dan memberikan rekomendasi peningkatan produktivitas tim/pengguna. 
3. Mengelola integritas data dari berbagai sumber (CRM, database aplikasi, dan pihak ketiga) untuk memastikan akurasi laporan. 
4.  Menyampaikan temuan teknis secara sederhana kepada tim operasional & klien guna mendorong budaya berbasis data (data-driven culture). 
5. Menganalisis tren pasar retail untuk mengidentifikasi peluang ekspansi atau rekomendasi bisnis 
 
Requirements: 
1. Minimal S1 di bidang Statistik, Ilmu Komputer, Ekonomi, atau bidang terkait. 
2. Mahir dalam menulis query SQL yang kompleks (Join, CTE, Window Functions). 
3. Berpengalaman minimal 3 tahun menggunakan BI Tools seperti Tableau, Looker, atau Power BI. 
4. Memiliki kemampuan dasar hingga menengah untuk manipulasi data dan analisis statistik. 
5. Paham mengenai metrik pertumbuhan SaaS 
6. Berpengalaman di Saas Industry, Agency atau FMCG merupakan nilai plus","T-Rec is a retail mobile software solution built to connect all related parties in one platform, aim to have data driven insight & better decision. 
 So, Why T-Rec? Because there are also lots of other things that you can monitor from your outlet, beyond just making sure the presence of your field team at one outlet.","team building events, near public transport work environment and facilities, career growth, vacation and leaves, bpjs tenaga kerja insurance and health, thr financial benefits, professional development, remote work, medical coverage, dental care insurance and health",True,https://glints.com/id/opportunities/jobs/data-analis/ab189036-8103-49a0-9aa5-77853997e61a,data analysis sql power bi microsoft excel tableau data visualization
IT Business Analyst,Information Technology and Services,FULL_TIME,Business Analyst,2026-03-17T06:54:45.823Z,2026-04-17,PT Solusindo Digital Holistik,http://www.sidiktalent.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0639d6ba43da0a009b005f5c9f8072d9.png,"Summarecon Bandung, Magna Terrace MC 118, Kota Bandung",Jakarta Timur,DKI Jakarta,ID,-6.19306,106.88889,8000000.0,10500000.0,IDR,MONTH,"Stakeholder Management, Business Analysis, SQL",36.0,bachelor degree,"Responsibilities : 
 
 Review and provide insights on system development requests from Business Units documented in Business Requirement Documents (BRD). 
 Analyze business requirements and translate them into Functional Specification Documents (FSD). 
 Collaborate with the IT team to ensure system development is delivered on time and aligned with the Software Development Life Cycle (SDLC). 
 Conduct System Integration Testing (SIT) to ensure proper system integration. 
 Support users during the User Acceptance Testing (UAT) process until successful implementation. 
 Identify opportunities to improve business processes through effective system solutions. 
 
 
 Qualifications : 
 
 Full-time onsite contract project based 
 Minimum 3 years of experience as a IT Business Analyst or in a similar role. 
 Bachelor’s degree in Information Technology, Information Systems, Business Management, Industrial Engineering, or a related field. 
 Experience in the financial technology (fintech) industry is a plus 
 Strong ability to analyze business processes and data. 
 Excellent communication and stakeholder management skills. 
 Proven ability to create clear and structured functional documentation.","PT Solusindo Digital Holistik (SIDIK CYBER) adalah perusahaan Teknologi Informasi yang bergerak di bidang Cybersecurity, Software Development, IT Resource & Cyber Academy. Bersertifikat ISO 9001 dan ISO 27001 serta memenuhi standar TKDN sebesar 69,19%. Didukung oleh team ahli, kami berkomitmen memberikan layanan terbaik dengan dukungan purna jual yang optimal.  
 Sebagai mitra solusi Teknologi Informasi, kami menyediakan infrastruktur dan layanan proyek melalui kemitraan bisnis. Berpengalaman menjalin kerja sama dengan Pemerintah dan perusahaan Swasta","thr financial benefits, bpjs tenaga kerja insurance and health, medical coverage",True,https://glints.com/id/opportunities/jobs/it-business-analyst/a58d1dcc-beea-4338-984d-7e285ecc24b1,stakeholder management business analysis sql
Lead System Analyst,Information Technology and Services,CONTRACTOR,System Analyst,2026-04-06T08:33:03.043Z,2026-05-07,PT TechTiera Services Indonesia,https://techtiera.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/4618ba865a94a1ca259d777d8d7c375d.jpeg,"Menara Palma, 12th Floor, Jl. HR Rasuna Said Kav. VI/9, Setiabudi, Jakarta Selatan 12950, Eighty-Eight Office Kasablanka Building, 10th Floor, Jakarta Selatan, DKI Jakarta 12870, ID",Jakarta Barat,DKI Jakarta,ID,-6.18889,106.77083,13000000.0,17000000.0,IDR,MONTH,"UML, Jira, DevOps, confluence",36.0,bachelor degree,"[Lead System Analyst Opportunity] 
 
 Loc: Kebon Jeruk, West Jakarta (Client Office) 
 Type: Contract 
 
 Requirements: 
 - At least with 3+ years of experience as a System Analyst and at least 2 years of prior experience as a software developer/engineer/programmer 
 - Prior experience as a Lead or team leader 
 - Experience leading a technical team (3–5 people), mentoring team members, and ensuring work is completed successfully in accordance with business needs 
 - Experience in business and technical analysis to translate client and internal business needs into technical specifications 
 - Experience in planning, designing, estimating, and executing to ensure software development is successfully delivered to the Customer 
 - Understanding of analysis tools such as JIRA, Confluence, or UML Diagrams 
 - Understanding of basic DevOps practices (CI/CD, monitoring, deployment) 
 - Understanding of the SDLC, Agile mindset, and Scrum framework 
 
 Responsibilities: 
 - Perform technical engineering tasks to support the technical team in achieving the company’s business objectives 
 - Lead, manage, and train the technical team in system development 
 - Create system designs to enhance the efficiency, availability, scalability, flexibility, functionality, and usability of the company’s products 
 - Possess a deep understanding of software architecture, operating systems, and networking 
 - Collaborate with the technical team to establish benchmarks, standards, technical specifications, and other mechanisms for non-functional requirements 
 - Collaborate with users and stakeholders to understand business needs 
 - Create tools and resources that help the team work more efficiently and effectively","TechTiera fastest growing IT Professional services company headquartered in the United States, with offices worldwide in USA, India, Australia, Malaysia, Philippines, Singapore, and Indonesia has been servicing clients globally with 30 enterprise customer","meal allowance financial benefits, medical coverage, travel, thr financial benefits",True,https://glints.com/id/opportunities/jobs/lead-system-analyst/88649be9-965b-4c60-8cb1-cf1ddf6f2465,uml jira devops confluence
Data Analis,Retail,FULL_TIME,Data Analyst,2026-03-27T08:59:55.567Z,2026-04-27,Colorlink (PT Grand Puri Persada),http://Colorlink.co.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/871aa8b56ad2c9711fd0699304f7ebe3.jpg,"Jl Danau Indah Raya Blok A1 No.5 Sunter Jaya, Tanjung Priok, Kota Jakarta Utara Daerah Khusus Ibukota Jakarta 14360",Jakarta Utara,DKI Jakarta,ID,-6.13333,106.875,5000000.0,7000000.0,IDR,MONTH,"Microsoft Excel, Microsoft SQL Server, Power BI, SQL, Tableau",12.0,professional certificate,"Halo, Calon Strategis Colorlink! 👋 
 
 Colorlink terus bertumbuh dengan 20 cabang dan 250+ karyawan di seluruh Indonesia. Dengan ribuan transaksi setiap hari, kami membutuhkan seseorang yang bisa mengubah data menjadi keputusan bisnis yang cerdas. 
 Kami mencari Business Data Analyst yang teliti, kritis, dan berpendidikan kuat untuk menjadi ""kompas"" bagi tim manajemen kami. 
 
 Tugas Utama Kamu (The Role): 
 
 Analisis Penjualan & Tren: Membedah data penjualan harian dari 20 kota. Kamu harus bisa menjawab: ""Produk apa yang sedang naik daun?"" dan ""Kenapa cabang A tidak capai target bulan ini?"" 
 Kontrol Stok & Logistik: Menganalisis perputaran barang (Inventory Turnover). Tugasmu mendeteksi barang yang menumpuk (dead stock) dan memastikan stok efisien agar cashflow perusahaan sehat. 
 Pelaporan Eksekutif: Menyajikan data rumit menjadi Dashboard Mingguan yang mudah dipahami oleh Direksi untuk pengambilan keputusan cepat. 
 
 
 Kualifikasi Detail (Yang Kami Cari): 
 
 Pendidikan (Wajib): 
 
 Minimal Sarjana (S1) 
 Jurusan yang diutamakan: Statistika, Matematika, Teknik Industri, Akuntansi, atau Sistem Informasi. (Kami butuh pola pikir logis yang kuat). 
 
 
 Pengalaman Kerja: 
 
 Minimal 1-2 tahun pengalaman di bidang Data Analyst, PPIC, Admin Sales Analyst, atau Business Intelligence. 
 Pengalaman di industri Retail, Distribusi, atau FMCG adalah nilai plus  
 
 
 Hard Skills (Wajib Menguasai): 
 
 Microsoft Excel Expert: Bukan sekadar bisa ketik, tapi mahir menggunakan Pivot Table, Power Query, VLOOKUP/XLOOKUP, dan rumus logika kompleks (IF/OR/AND). 
 Nilai tambah jika menguasai Power BI, Tableau, atau SQL. 
 
 
 Soft Skills: 
 
 Analytical Thinking: Mampu melihat hubungan sebab-akibat di balik angka. 
 Komunikasi: Berani mempresentasikan hasil temuan data kepada manajemen dengan bahasa yang lugas. 
 
 
 Benefit: 
 
 Gaji Kompetitif. 
 Bekerja langsung dengan Top Management (Strategic Role). 
 Kesempatan karir di perusahaan nasional yang stabil dan berkembang. 
 Bekerja di lingkungan yang positif dan supportive.","PT. GRAND PURI PERSADA atau yang lebih dikenal dengan nama merek dagang COLORLINK berkantor pusat di Jakarta di dirikan pada tahun 2010. Kami merupakan salah satu distributor bahan terkemuka di Indonesia untuk industri komunikasi visual dan Digital Printing.COLORLINK menawarkan berbagai produk yang kita kelompokan ke dalam 7 (tujuh) kelompok, yaitu Flexi Banner, INK, Display Banner, Sparepart Machine Printing, Accesories Printing, Laminating Film dan Indoor Media.Dengan dedikasi kami yang tinggi, kami terus berkomitmen untuk memberikan produk yang berkualitas dengan harga yang terjangkau, pelayanan yang maksimal, serta kemudahan akses terhadap semua konsumen di seluruh jaringan distribusi perusahaan kami yang tersebar lebih dari 20 kota di Indonesia.","career growth, thr financial benefits",True,https://glints.com/id/opportunities/jobs/data-analis/c5e55408-9a3c-483f-aced-a1b539425906,microsoft excel microsoft sql server power bi sql tableau
Analis Data FMCG,Outsourcing/Offshoring,FULL_TIME,Data Analyst,2026-03-30T02:34:13.882Z,2026-04-30,PT Hasta Ayu Nusantara,https://hastaayu.co.id/,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/41e28633946767354965ec1b41272068.png,"Jalan Kapi Sata Bali VI.16f No 1, Sawojajar A, Sekarpuro, Malang, Jawa Timur",Jakarta Timur,DKI Jakarta,ID,-6.22778,106.87778,5000000.0,7000000.0,IDR,MONTH,"Microsoft Excel, SQL, Power BI, Data Analysis",12.0,professional certificate,"1. Pengumpulan Data: Mengumpulkan data dari sumber primer/sekunder, seperti basis data internal, API, survei, atau alat analisis web. 
 
 2. Pembersihan Data (Prapemrosesan): Menyaring dan membersihkan data ""mentah"" untuk menghilangkan kesalahan, duplikat, atau nilai yang hilang untuk memastikan akurasi. 
 
 3. Analisis & Interpretasi Data: Menggunakan teknik dan alat statistik untuk menemukan tren atau korelasi dalam data. 
 
 4. Visualisasi & Pelaporan Data: Menyajikan temuan melalui bagan, grafik, dan dasbor untuk membuat temuan teknis dapat dipahami oleh para pemangku kepentingan. 
 
 5. Manajemen Basis Data: Mempertahankan dan merancang sistem data atau basis data. 
 
 6. Kolaborasi: Bekerja dengan anggota tim, manajemen, dan pengembang untuk mengidentifikasi kebutuhan bisnis dan meningkatkan sistem data.",PT Hasta Ayu Nusantara merupakan perusahaan outsourcing bergerak di bidang jasa promosi yang menyediakan jasa tenaga kerja professional untuk keperluan sales promotion dan marketing.Perusahaan ini menangani berbagai kegiatan promosi,"bpjs tenaga kerja insurance and health, thr financial benefits, medical coverage",True,https://glints.com/id/opportunities/jobs/analis-data-fmcg/1d1e8115-adf1-4704-b887-657cd4888104,microsoft excel sql power bi data analysis
Business Analyst,Telecommunications,FULL_TIME,Business Analyst,2026-03-31T08:40:47.247Z,2026-05-01,PT. Mega Artha Lintas Data (MEGADATA ISP),https://www.megadata.net.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/19508fc6878ca7b2bbf7d3080e28f75d.jpg,"Jalan Piyungan - Prambanan 103, Boko Harjo, Prambanan, Yogyakarta 55572, ID",Sleman,DI Yogyakarta,ID,-7.79722,110.50417,2500000.0,2700000.0,IDR,MONTH,"Process Improvement, Data Analysis, Requirements Analysis, Business Analysis",12.0,high school,"Jobdesk: 
 
 Mengumpulkan kebutuhan user dan menerjemahkannya ke dalam dokumen BRD dan FSD. 
 Menganalisis data serta proses bisnis yang berjalan. 
 Merancang perbaikan proses bisnis. 
 Mendokumentasikan solusi yang diusulkan. 
 Monitoring sistem dan menganalisis feedback dari user. 
 Berkomunikasi dengan user dan tim development. 
 
 
 Kualifikasi: 
 
 Usia minimal 21 tahun. 
 Pendidikan minimal SMA/SMK sederajat. 
 Memiliki kemampuan analisis dan komunikasi yang baik. 
 Teliti, detail, dan mampu bekerja sama dengan tim.","PT. MEGA ARTHA LINTAS DATA dengan branding MEGADATA ISP merupakan suatu perusahaan berbasis teknologi yang menyediakan layanan jaringan akses internet dan komunikasi radio yang didirikan pada tahun 2017. MEGADATA ISP merupakan perusahaan penyedia layanan akses jaringan internet yang menangani layanan Internet Service Provider, Colocation, IT Managed Services, dan Data Center. 
 
 Visi: Menjadi penyedia layanan profesional yang meningkatkan produktivitas dan efisiensi perusahaan melalui teknologi terkini dan sumber daya manusia yang berkualitas. 
 Misi: Memberikan layanan berkualitas dengan harga terjangkau melalui tenaga ahli, serta terus berinovasi menghadirkan akses internet cepat sesuai kebutuhan zaman. 
 Nilai: Integritas, Inovasi, Pelayanan","thr financial benefits, career growth, meal allowance financial benefits, bpjs tenaga kerja insurance and health, travel, medical coverage, perform bonus financial benefits, sales commission financial benefits",True,https://glints.com/id/opportunities/jobs/business-analyst/54e851f0-b57b-4966-8435-76594cf5d1fe,process improvement data analysis requirements analysis business analysis
Business Analyst,Computer Software,FULL_TIME,Business Analyst,2026-03-26T05:01:19.781Z,2026-04-26,PT Quadra Karya Santosa,https://quadrakaryasantosa.co.id/,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/884e41a56a9caa677c8b6d84186f00aa.jpg,"Jln. Gaya Motor Raya No. 8, Sunter II, Jakarta Utara, DKI Jakarta 14330",Tangerang Selatan,Banten,ID,-6.30694,106.67917,5000000.0,7000000.0,IDR,MONTH,"Data Analysis, Business Analysis, SQL, Requirements Analysis, SDLC, FSD, BRD, Project Management, Stakeholder Management",36.0,professional certificate,"Diploma (D3) or Bachelor’s Degree in IT, Computer Science, Business Information Systems, or a related field. 
 Minimum 3 years of proven experience as an IT Business Analyst or in a similar role. 
 Certified Data Management Professional (CDMP) certification is mandatory. 
 Proficient in requirement gathering, including BRD (Business Requirement Document) and FSD (Functional Specification Document) creation. 
 Strong analytical skills to translate complex business needs into technical solutions. 
 Experienced in data modeling, process mapping, and workflow analysis (e.g., Visio, Lucidchart, or Draw.io). 
 Solid understanding of SDLC and basic SQL for data analysis and verification. 
 Excellent communication skills to bridge the gap between business stakeholders and technical teams. 
 The candidate is available to join ASAP","Quadra Karya Santosa is a team of IT consultant, developer, designer, and technopreneur who thrive on designing and developing great user interfaces and user experiences for IT consulting.","bpjs tenaga kerja insurance and health, medical coverage",True,https://glints.com/id/opportunities/jobs/business-analyst/08d16796-568e-41c6-98a3-fb9647e7e44f,data analysis business analysis sql requirements analysis sdlc fsd brd project management stakeholder management
Business Planning Analyst,Logistics and Supply Chain,FULL_TIME,Business Analyst,2026-03-26T03:01:14.107Z,2026-04-26,PT Mitra Angkasa Raya,https://www.linkedin.com/company/pt-mitra-angkasa-raya/mycompany,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/29d7b71e7e4983c549ac6a5e0b5789d4.png,"Komplek City Square Blok C16, Jl. Abdul Rahman Saleh No. 9 Bandung",Bandung,Jawa Barat,ID,-6.90139,107.58361,4737678.0,10000000.0,IDR,MONTH,"Business Analysis, Stakeholder Management, Business Intelligence, Forecasting, Project Management",12.0,bachelor degree,"𝗪𝗘 𝗔𝗥𝗘 𝗛𝗜𝗥𝗜𝗡𝗚!📢 
 
 PT Manggala Semesta Investama membuka kesempatan untuk bergabung bersama kami dalam posisi: 
 𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗣𝗹𝗮𝗻𝗻𝗶𝗻𝗴 𝗔𝗻𝗮𝗹𝘆𝘀𝘁 
 📍 Penempatan Bandung 
 
 Qualification : 
 
 S1 Finance, Akuntansi, Manajemen, Ekonomi, Teknik, atau relevan. 
 Pengalaman 1–2 tahun di Business Planning / Financial Planning & Analysis / Business Analyst. 
 Menguasai financial modeling dan analisa data. 
 Mahir Excel (advanced); SQL/SAP/BI menjadi nilai tambah. 
 Analitis, detail, komunikatif, dan mampu bekerja lintas fungsi. 
 
 
 Jobdesk : 
 
 Menyusun rencana bisnis, anggaran, dan forecasting. 
 Menganalisis kinerja keuangan & operasional (PnL, Cost, Headcount). 
 Melakukan variance analysis dan memberikan rekomendasi perbaikan. 
 Mengembangkan financial model dan laporan manajemen untuk mendukung keputusan strategis. 
 Mengidentifikasi peluang efisiensi serta berkolaborasi dengan tim terkait. 
 
 
 Note: Hanya kandidat yang sesuai kualifikasi yang akan hubungi untuk lanjut ke tahap berikutnya. Proses rekrutmen ini tidak dipungut biaya apapun","PT. Mitra Angkasa Raya (MAR) has been established since 2019. This company has expertise in the field of air cargo, with many advantages and exclusivity. This company is founded and managed well by individuals who have expertise and a high level of competence in their respective sector. We collaborate with leading airlines in Indonesia, Garuda Indonesia Cargo. We believe there is more than just sending goods or cargo, but “customers comfort and trust” is the main thing for us.","medical coverage, bpjs tenaga kerja insurance and health, thr financial benefits, perform bonus financial benefits",True,https://glints.com/id/opportunities/jobs/business-planning-analyst/5dbbf341-d7b8-4ab9-b151-131917e3c440,business analysis stakeholder management business intelligence forecasting project management
Middle Product Analyst,Information Technology and Services,CONTRACTOR,Product Specialict,2026-03-03T05:03:31.422Z,2026-05-03,PT Evolusi Teknologi Solusi (Evoteks),https://evoteks.net,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d2fdb71b40bfce11120b716f283582e9.png,Jl.Basoka Raya No.8 Kel.Joglo Kec.Kembangan Jakarta Barat 11640,Jakarta Pusat,DKI Jakarta,ID,-6.19444,106.83333,7500000.0,11000000.0,IDR,MONTH,"Agile Methodologies, Banking, Product Analysis",36.0,bachelor degree,"We're hiring for 
 Product Analyst (Product Owner) 
 
 Requirements: 
 
 Bachelor's degree in IT 
 3+ years experience in relevant role (Product Analyst, Product Owner, etc) 
 Familiar with Oracle ERP, SAP, Ms Dynamics, etc 
 Familiar with Agile Methodology 
 WFO at Jakarta Selatan 
 Willing to be placed in Fintech Industry (Insurance/Banking)","PT Evolusi Teknologi Solusi, atau disingkat EVOTEKS, adalah perusahaan yang menyediakan tenaga kerja alih daya khususnya tenaga ahli dibidang IT, dan tenaga outsourcing lainnya, untuk memenuhi kebutuhan tenaga kerja bagi perusahaan-perusahaan di seluruh Indonesia.  EVOTEKS berdiri sejak tahun 2016, dibentuk dan didirikan berlandaskan prinsip edukasi dan evolusi, yang menjadi identitas kami melalui penggunaan huruf E pada logo perusahaan. EVOTEKS memastikan bahwa setiap solusi yang kami tawarkan tidak hanya memenuhi kebutuhan bisnis, tetapi juga melibatkan pengetahuan, pemahaman, pengalaman, dan pemberian informasi yang akurat.","vision care insurance and health, medical coverage, thr financial benefits, bpjs tenaga kerja insurance and health",True,https://glints.com/id/opportunities/jobs/middle-product-analyst/51d9868b-b745-4aa9-812e-cbd9d53c8c83,agile methodologies banking product analysis
